date,exercise_id,set_order,weight,reps,notes,rpe
2021-11-04,5,2,100,10,"",
2021-11-04,5,3,100,10,"",
2021-11-04,5,4,100,7,"",
2021-11-04,32,1,30,11,"",
2021-11-04,32,2,30,11,"",
2021-11-04,32,3,30,225,"",
2021-11-04,48,1,22.5,12,"",
2021-11-04,48,2,22.5,10,"",
2021-11-04,48,3,22.5,10,"",
2021-11-04,49,1,10,12,"",
2021-11-04,49,2,12.5,15,"",
2021-11-04,49,3,12.5,13,"",
2021-11-04,10,1,12.5,12,"",
2021-11-04,10,2,12.5,13,"",
2021-11-04,10,3,12.5,13,"",
2021-11-04,44,1,12.5,12,"",
2021-11-04,44,2,12.5,9,"",
2021-11-04,44,3,12.5,8,"",
2021-11-04,52,1,7.5,13,"",
2021-11-04,52,2,7.5,12,"",
2021-11-04,52,3,7.5,11,"",
2021-11-05,45,1,35,10,"",
2021-11-05,45,2,35,10,"",
2021-11-05,45,3,35,10,"",
2021-11-05,36,1,65,12,"",
2021-11-05,36,2,65,10,"",
2021-11-05,36,3,65,10,"",
2021-11-05,37,1,72.5,10,"",
2021-11-05,37,2,72.5,10,"",
2021-11-05,37,3,72.5,10,"",
2021-11-05,50,1,27.5,15,"",
2021-11-05,50,2,27.5,15,"",
2021-11-05,50,3,27.5,13,"",
2021-11-05,60,1,17.5,14,"",
2021-11-05,60,2,17.5,13,"",
2021-11-05,60,3,17.5,10,"",
2021-11-05,59,1,17.5,9,"",
2021-11-05,59,2,17.5,9,"",
2021-11-05,59,3,17.5,9,"",
2021-11-06,40,1,170,6,"",
2021-11-06,40,2,170,6,"",
2021-11-06,40,3,170,6,"",
2021-11-06,40,4,170,6,"",
2021-11-06,29,1,42.5,10,"",
2021-11-06,29,2,42.5,10,"",
2021-11-06,29,3,42.5,10,"",
2021-11-06,57,1,115,12,"",
2021-11-06,57,2,115,12,"",
2021-11-06,57,3,115,12,"",
2021-11-06,47,1,25,15,"",
2021-11-06,47,2,25,15,"",
2021-11-06,47,3,25,12,"",
2021-11-07,23,1,85,11,"",
2021-11-07,23,2,85,10,"",
2021-11-07,23,3,85,8,"",
2021-11-07,34,1,75,10,"",
2021-11-07,34,2,75,10,"",
2021-11-07,34,3,75,10,"",
2021-11-07,48,1,22.5,12,"",
2021-11-07,48,2,22.5,12,"",
2021-11-07,48,3,22.5,10,"",
2021-11-07,10,1,12.5,12,"",
2021-11-07,10,2,12.5,12,"",
2021-11-07,44,1,12.5,10,"",
2021-11-07,44,2,12.5,9,"",
2021-11-07,44,3,12.5,9,"",
2021-11-08,45,1,35,10,"",
2021-11-08,45,2,35,10,"",
2021-11-08,45,3,35,10,"",
2021-11-08,45,4,35,10,"",
2021-11-08,36,1,65,12,"",
2021-11-08,36,2,65,12,"",
2021-11-08,36,3,65,12,"",
2021-11-08,50,1,30,12,"",
2021-11-08,50,2,30,11,"",
2021-11-08,50,3,30,10,"",
2021-11-08,38,1,17.5,15,"",
2021-11-08,38,2,17.5,12,"",
2021-11-08,38,3,17.5,10,"",
2021-11-10,42,1,55,10,"",
2021-11-10,42,2,55,10,"",
2021-11-10,42,3,55,10,"",
2021-11-10,53,1,60,10,"",
2021-11-10,53,2,60,10,"",
2021-11-10,53,3,60,10,"",
2021-11-10,48,1,25,11,"",
2021-11-10,48,2,25,10,"",
2021-11-10,48,3,25,10,"",
2021-11-10,10,1,12.5,12,"",
2021-11-10,10,2,12.5,10,"",
2021-11-10,10,3,12.5,10,"",
2021-11-10,60,1,17.5,12,"",
2021-11-10,60,2,17.5,12,"",
2021-11-10,60,3,17.5,10,"",
2021-11-10,39,1,30,15,"",
2021-11-10,39,2,40,10,"",
2021-11-10,39,3,40,10,"",
2021-11-10,52,1,7.5,15,"",
2021-11-12,1,1,130,12,"",
2021-11-12,1,2,130,10,"",
2021-11-12,1,3,130,8,"",
2021-11-12,1,4,130,8,"",
2021-11-12,20,1,105,12,"",
2021-11-12,20,2,105,12,"",
2021-11-12,20,3,105,12,"",
2021-11-12,51,1,60,15,"",
2021-11-12,51,2,60,15,"",
2021-11-12,51,3,60,15,"",
2021-11-12,2,1,25,10,"",
2021-11-12,2,2,25,10,"",
2021-11-12,2,3,25,10,"",
2021-11-12,3,1,40,15,"",
2021-11-12,3,2,40,15,"",
2021-11-12,3,3,40,15,"",
2021-11-12,3,4,25,4,"",
2021-11-12,3,5,10,4,"",
2021-11-12,4,1,40,15,"",
2021-11-12,4,2,40,15,"",
2021-11-12,4,3,40,15,"",
2021-11-12,47,1,25,15,"",
2021-11-12,47,2,25,15,"",
2021-11-12,47,3,25,15,"",
2021-11-13,5,1,105,8,"",
2021-11-13,5,2,105,8,"",
2021-11-13,5,3,105,8,"",
2021-11-13,5,4,105,8,"",
2021-11-13,26,1,12,12,"",
2021-11-13,26,2,12,12,"",
2021-11-13,26,3,12,12,"",
2021-11-13,32,1,30,12,"",
2021-11-13,32,2,30,12,"",
2021-11-13,32,3,30,9,"",
2021-11-13,9,1,0,7,"",
2021-11-13,9,2,0,9,"",
2021-11-13,9,3,0,8,"",
2021-11-13,44,1,10,12,"",
2021-11-13,44,2,10,12,"",
2021-11-13,44,3,10,10,"",
2021-11-13,52,1,10,12,"",
2021-11-13,52,2,10,12,"",
2021-11-13,52,3,10,10,"",
2021-11-14,45,1,35,10,"",
2021-11-14,45,2,35,12,"",
2021-11-14,45,3,35,12,"",
2021-11-14,45,4,35,10,"",
2021-11-14,61,1,40,15,"",
2021-11-14,61,2,40,15,"",
2021-11-14,61,3,40,15,"",
2021-11-14,36,1,65,12,"",
2021-11-14,36,2,65,12,"",
2021-11-14,36,3,65,12,"",
2021-11-14,50,1,27.5,12,"",
2021-11-14,50,2,27.5,12,"",
2021-11-14,50,3,27.5,12,"",
2021-11-14,38,1,17.5,15,"",
